,ensembl_gene_id,id,DL_OR
245,ENSMUSG00000061361,Olfr168,OR2L13B
246,ENSMUSG00000095957,Olfr832,OR7G19
247,ENSMUSG00000101480,Olfr1220,OR4C115
248,ENSMUSG00000059105,Olfr1504,OR9I16
249,ENSMUSG00000049498,Olfr1449,OR5B24
250,ENSMUSG00000073973,Olfr552,OR52K2
251,ENSMUSG00000109212,Olfr126,OR14J5
252,ENSMUSG00000108827,Olfr1310,OR4F6
253,ENSMUSG00000057050,Olfr397,OR1E1F
254,ENSMUSG00000075190,Olfr1054,OR8K22
255,ENSMUSG00000069823,Olfr1,OR1E16
256,ENSMUSG00000075164,Olfr1106,OR5J1
257,ENSMUSG00000060049,Olfr235,OR5AN11
258,ENSMUSG00000048299,Olfr148,OR10N1
259,ENSMUSG00000059205,Olfr1130,OR10AG60
260,ENSMUSG00000107822,Olfr1358,OR10B1
261,ENSMUSG00000063230,Olfr535,OR13A22
262,ENSMUSG00000062128,Olfr20,OR1E1
263,ENSMUSG00000058628,Olfr875,OR8B12B
264,ENSMUSG00000043692,Olfr399,OR3A4
265,ENSMUSG00000075202,Olfr1042,OR5AL1
266,ENSMUSG00000044205,Olfr983,OR8B57
267,ENSMUSG00000062649,Olfr44,OR8G20
268,ENSMUSG00000060523,Olfr726,OR4K15C
269,ENSMUSG00000111517,Olfr1238,OR4A39
270,ENSMUSG00000096109,Olfr1537,OR8G18
271,ENSMUSG00000068182,Olfr203,OR5AC21
272,ENSMUSG00000046016,Olfr1364,OR2W2
273,ENSMUSG00000073768,Olfr1330,OR10AK16
274,ENSMUSG00000049018,Olfr368,OR5C1
275,ENSMUSG00000066263,Olfr639,OR51K1
276,ENSMUSG00000056995,Olfr1178,OR4P7
277,ENSMUSG00000046678,Olfr981,OR10G6
278,ENSMUSG00000059043,Olfr15,OR2C1
279,ENSMUSG00000093804,Olfr1303,OR4F7
280,ENSMUSG00000093942,Olfr46,OR13A18
281,ENSMUSG00000073917,Olfr665,OR52N3
282,ENSMUSG00000094285,Olfr743,OR11G27
283,ENSMUSG00000063715,Olfr816,OR6C69
284,ENSMUSG00000050478,Olfr807,OR6C214
285,ENSMUSG00000057770,Olfr668,OR52N2C
286,ENSMUSG00000043331,Olfr975,OR10D5
287,ENSMUSG00000062314,Olfr1505,OR9I1B
288,ENSMUSG00000111456,Olfr1245,OR4A72
289,ENSMUSG00000058491,Olfr869,OR7E175
290,ENSMUSG00000045204,Olfr835,OR7G20
291,ENSMUSG00000050266,Olfr690,OR52B1
292,ENSMUSG00000059821,Olfr847,OR7G29
293,ENSMUSG00000070857,Olfr1113,OR10AG52
294,ENSMUSG00000090059,Olfr1062,OR8J3C
295,ENSMUSG00000056696,Olfr1350,OR5BW2
296,ENSMUSG00000063225,Olfr917,OR8B52
297,ENSMUSG00000081945,Olfr607,OR52D13
298,ENSMUSG00000090675,Olfr111,OR5V1B
299,ENSMUSG00000073927,Olfr652,OR52H7
300,ENSMUSG00000046431,Olfr518,OR10A3
301,ENSMUSG00000054431,Olfr450,OR2Q1
302,ENSMUSG00000094140,Olfr1512,OR10G3
303,ENSMUSG00000048933,Olfr722,OR4N5
304,ENSMUSG00000071185,Olfr1357,OR1I2
305,ENSMUSG00000075382,Olfr353,OR1N1B
306,ENSMUSG00000045584,Olfr610,OR51AG1
307,ENSMUSG00000051172,Olfr672,OR52E15
308,ENSMUSG00000066672,Olfr417,OR10X1
309,ENSMUSG00000108534,Olfr1360,OR2B2B
310,ENSMUSG00000061561,Olfr373,OR2Z9
311,ENSMUSG00000061972,Olfr99,OR1O4
312,ENSMUSG00000047960,Olfr186,OR5H18
313,ENSMUSG00000074946,Olfr1313,OR4F60
314,ENSMUSG00000032987,Olfr281,OR8S8
315,ENSMUSG00000073948,Olfr608,OR52AE7
316,ENSMUSG00000047868,Olfr770,OR6C201
317,ENSMUSG00000075174,Olfr1087,OR8K3B
318,ENSMUSG00000094426,Olfr478,OR5P6
319,ENSMUSG00000053251,Olfr212,OR6D12
320,ENSMUSG00000095608,Olfr247,OR10U3
321,ENSMUSG00000066242,Olfr467,OR5P5
322,ENSMUSG00000063842,Olfr862,OR7E170
323,ENSMUSG00000046300,Olfr1412,OR9S27
324,ENSMUSG00000091601,Olfr93,OR2H1B
325,ENSMUSG00000051156,Olfr1491,OR10Q1B
