sample_name,exp_date,Count,Geo_Mean,Robust_CV,Median,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,pCI,Total,others,gene-mix,RTP2,Syt_genes
Olfr1243,03262023,10000,180.0,67.5,151.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr1243_R,03262023,10000,1054.0,302.0,663.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr1243_R_GCSMix,03262023,10000,896.0,222.0,585.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr1243_GCSMix,03262023,9999,210.0,60.3,182.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
Olfr129,03262023,9999,197.0,67.7,166.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr129_R,03262023,9999,219.0,63.2,188.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr129_R_GCSMix,03262023,10000,222.0,64.2,190.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr129_GCSMix,03262023,9999,177.0,62.4,155.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
Olfr1347,03262023,9998,233.0,62.4,199.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr1347_R,03262023,10000,2069.0,101.0,2288.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr1347_R_GCSMix,03262023,10028,2336.0,91.9,2734.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr1347_GCSMix,03262023,10000,203.0,59.2,179.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
Olfr1388,03262023,9999,224.0,56.3,196.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr1388_R,03262023,10000,208.0,54.0,187.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr1388_R_GCSMix,03262023,10000,242.0,52.0,220.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr1388_GCSMix,03262023,10000,215.0,57.9,186.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
Olfr1391,03262023,10000,200.0,52.5,186.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr1391_R,03262023,10000,716.0,98.8,620.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr1391_R_GCSMix,03262023,10000,961.0,109.0,890.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr1391_GCSMix,03262023,9999,242.0,54.1,222.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
Olfr1509,03262023,10000,196.0,64.3,169.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr1509_R,03262023,10000,671.0,114.0,541.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr1509_R_GCSMix,03262023,10000,789.0,122.0,666.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr1509_GCSMix,03262023,10000,181.0,63.4,158.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
Olfr432,03262023,10000,258.0,67.8,216.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr432_R,03262023,9999,1187.0,153.0,1020.0,1000,100,0.0,0.0,0.0,0.0,900.0,2000,,,,
Olfr432_R_GCSMix,03262023,10000,1441.0,154.0,1315.0,1000,100,225.0,225.0,225.0,225.0,0.0,2000,,,,
Olfr432_GCSMix,03262023,9999,228.0,64.6,196.0,1000,0,225.0,225.0,225.0,225.0,100.0,2000,,,,
RhopCI,10122022,10035,63.9,119.0,57.8,0,0,0.0,0.0,,,0.0,0,,0.0,,
Olfr1377,10122022,10044,118.0,90.2,100.0,1000,0,0.0,0.0,,,1000.0,2000,,0.0,,
Olfr1377_R,10122022,10068,1085.0,80.4,1076.0,1000,100,0.0,0.0,,,900.0,2000,,0.0,,
Olfr1377_RGC,10122022,10099,1206.0,81.8,1204.0,1000,100,150.0,150.0,,,600.0,2000,,0.0,,
Olfr1377_RGC_21MIX,10122022,10054,1261.0,79.2,1283.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
Olfr1377_RGC_21minus_Sult1d1,10122022,10074,1349.0,78.1,1376.0,1000,100,150.0,150.0,,,0.0,2000,,600.0,,
