Sample_name,Count,GeoMean,Rcv,Median,exp_date,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,others,tube,Total,pCI,gene-mix,Rho ,Syt_genes,1-Antibody,tubes,total,RTP2
Olfr545+GCSMix,10000.0,119.0,71.0,109.0,04012023_Lu,500.0,,225.0,225.0,225.0,225.0,,FACS_Tube_034_Olfr545_GCSMix .fcs,1400.0,,,,,,,,
Olfr545+Rtp1s+GCSMix_optimized,10000.0,166.0,79.0,133.0,04012023_Lu,500.0,100.0,300.0,66.0,300.0,66.0,,FACS_Tube_035_Olfr545_Rtp1s_GCSMix_optimized.fcs,1332.0,,,,,,,,
Olfr545+GCSMix_optimized,10000.0,111.0,72.2,103.0,04012023_Lu,500.0,,300.0,66.0,300.0,66.0,,FACS_Tube_036_Olfr545_GCSMix_optimized.fcs,1232.0,,,,,,,,
RhopCI,,119.0,92.6,105.0,05202024_Lu,1000.0,,,,,,,FACS_Tube_004_RhopCI.fcs,0.0,,,,,,,,
consOR52_1000_ng,,37210.0,68.5,45750.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_005_consOR52_1000_ng.fcs,1100.0,,,,,,,,
consOR52_100_ng,,19804.0,147.0,25398.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_006_consOR52_100_ng.fcs,200.0,,,,,,,,
OR52K2_1000_ng,,258.0,85.7,185.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_007_OR52K2_1000_ng.fcs,1100.0,,,,,,,,
OR52K2_100_ng,,222.0,80.6,173.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_008_OR52K2_100_ng.fcs,200.0,,,,,,,,
OR52B6_1000_ng,,799.0,121.0,650.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_009_OR52B6_1000_ng.fcs,1100.0,,,,,,,,
OR52B6_100_ng,,696.0,88.0,617.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_010_OR52B6_100_ng.fcs,200.0,,,,,,,,
OR52D2_1000_ng,,1808.0,86.0,1892.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_011_OR52D2_1000_ng.fcs,1100.0,,,,,,,,
OR52D2_100_ng,,2001.0,95.4,2140.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_012_OR52D2_100_ng.fcs,200.0,,,,,,,,
OR56A4_1000_ng,,1337.0,96.1,1310.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_013_OR56A4_1000_ng.fcs,1100.0,,,,,,,,
OR56A4_100_ng,,844.0,97.8,760.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_014_OR56A4_100_ng.fcs,200.0,,,,,,,,
OR2AT4_1000_ng,,3374.0,124.0,3959.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_015_OR2AT4_1000_ng.fcs,1100.0,,,,,,,,
OR2AT4_100_ng,,4344.0,109.0,5439.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_016_OR2AT4_100_ng.fcs,200.0,,,,,,,,
consOR10_1000_ng,,45311.0,58.5,54614.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_017_consOR10_1000_ng.fcs,1100.0,,,,,,,,
consOR10_100_ng,,22768.0,109.0,34085.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_018_consOR10_100_ng.fcs,200.0,,,,,,,,
OR10A4_1000_ng,,251.0,93.8,174.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_019_OR10A4_1000_ng.fcs,1100.0,,,,,,,,
OR10A4_100_ng,,196.0,82.1,149.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_020_OR10A4_100_ng.fcs,200.0,,,,,,,,
OR10A7_1000_ng,,299.0,95.2,213.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_021_OR10A7_1000_ng.fcs,1100.0,,,,,,,,
OR10A7_100_ng,,184.0,94.8,133.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_022_OR10A7_100_ng.fcs,200.0,,,,,,,,
OR5B21_1000_ng,,392.0,107.0,282.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_023_OR5B21_1000_ng.fcs,1100.0,,,,,,,,
OR5B21_100_ng,,263.0,106.0,183.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_024_OR5B21_100_ng.fcs,200.0,,,,,,,,
OR5AP2_1000_ng,,746.0,88.2,638.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_025_OR5AP2_1000_ng.fcs,1100.0,,,,,,,,
OR5AP2_100_ng,,563.0,121.0,416.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_026_OR5AP2_100_ng.fcs,200.0,,,,,,,,
OR6F1_1000_ng,,1256.0,67.9,1220.0,05202024_Lu,1000.0,100.0,,,,,,FACS_Tube_027_OR6F1_1000_ng.fcs,1100.0,,,,,,,,
OR6F1_100_ng,,1058.0,81.2,1034.0,05202024_Lu,100.0,100.0,,,,,,FACS_Tube_028_OR6F1_100_ng.fcs,200.0,,,,,,,,
RhopCI,10000.0,147.0,59.5,135.0,03312023_Lu,1000.0,,,,,,,FACS_Tube_005_Rho-pCI.fcs,,,,,,,,,
Olfr1377,10000.0,239.0,62.0,208.0,03312023_Lu,1000.0,,,,,,,FACS_Tube_013_Olfr1377.fcs,1000.0,,,,,,,,
Olfr1377+R,10000.0,1314.0,90.8,1363.0,03312023_Lu,1000.0,100.0,,,,,,FACS_Tube_014_Olfr1377_Rtp1s.fcs,1100.0,,,,,,,,
Olfr1377+Rtp1s+GCSMix,10000.0,1875.0,74.0,2099.0,03312023_Lu,1000.0,100.0,300.0,66.6,300.0,66.6,,FACS_Tube_015_Olfr1377_Rtp1s_GCSMix.fcs,1833.1999999999998,,,,,,,,
Olfr1377_p50+Rtp1s+GCSMix,10000.0,2322.0,70.1,2723.0,03312023_Lu,500.0,100.0,300.0,66.6,300.0,66.6,,FACS_Tube_016_Olfr1377_p50_Rtp1s_GCSMix.fcs,1333.1999999999998,,,,,,,,
Olfr1377_p33+Rtp1s+GCSMix,10000.0,2028.0,77.1,2323.0,03312023_Lu,300.0,100.0,300.0,66.6,300.0,66.6,,FACS_Tube_017_Olfr1377_p33_Rtp1s_GCSMix.fcs,1133.1999999999998,,,,,,,,
Olfr1377_p10+Rtp1s+GCSMix,10000.0,1242.0,96.8,1285.0,03312023_Lu,100.0,100.0,300.0,66.6,300.0,66.6,,FACS_Tube_018_Olfr1377_p10_Rtp1s_GCSMix.fcs,933.2,,,,,,,,
Olfr1377+GCSMix,10000.0,278.0,62.4,242.0,03312023_Lu,1000.0,,300.0,66.6,300.0,66.6,,FACS_Tube_019_Olfr1377_GCSMix.fcs,1733.1999999999998,,,,,,,,
Olfr447,10000.0,217.0,67.2,183.0,03312023_Lu,1000.0,,,,,,,FACS_Tube_020_Olfr447.fcs,1000.0,,,,,,,,
Olfr447+Rtp1s,10000.0,2544.0,124.0,2957.0,03312023_Lu,1000.0,100.0,,,,,,FACS_Tube_021_Olfr447_Rtp1s.fcs,1100.0,,,,,,,,
Olfr447+Rtp1s+GCSMix,10000.0,2432.0,135.0,2697.0,03312023_Lu,1000.0,100.0,300.0,66.6,300.0,66.6,,FACS_Tube_022_Olfr447_Rtp1s_GCSMix.fcs,1833.1999999999998,,,,,,,,
Olfr447+GCSMix,10000.0,190.0,61.5,164.0,03312023_Lu,1000.0,,300.0,66.6,300.0,66.6,,FACS_Tube_023_Olfr447_GCSMix.fcs,1733.1999999999998,,,,,,,,
Olfr447_p50+Rtp1s+GCSMix,10000.0,1477.0,138.0,1397.0,03312023_Lu,500.0,100.0,300.0,66.6,300.0,66.6,,FACS_Tube_024_Olfr447_p50_Rtp1s_GCSMix.fcs,1333.1999999999998,,,,,,,,
RhopCI,10000.0,93.1,72.0,88.7,03152023_Lu,1000.0,,,,,,,FACS_Tube_004_Rho pCI.fcs,2000.0,2000.0,,,,,,,
Olfr1377,10000.0,193.0,61.9,175.0,03152023_Lu,1000.0,,,,,,,FACS_Tube_005_Olfr1377.fcs,2000.0,1000.0,,,,,,,
Olfr1377+RGC,10000.0,1595.0,85.0,1881.0,03152023_Lu,1000.0,100.0,150.0,150.0,,,,FACS_Tube_006_Olfr1377_RGC .fcs,2000.0,600.0,,,,,,,
